iter	RMSE
0	0.6954746588
1	0.561463859
2	0.4960207542
3	0.4623583569
4	0.4452803789
5	0.4345016831
6	0.4267331651
7	0.4223573606
8	0.4167189322
9	0.4135349297
10	0.4111391789
11	0.4081693254
12	0.4061255891
13	0.4045850848
14	0.4025951732
15	0.4010033819
16	0.3987000093
17	0.3968009544
18	0.3926501041
19	0.3914511587
20	0.3900996229
21	0.3891483045
22	0.3877767935
23	0.3864259754
24	0.3849649797
25	0.384282657
26	0.3834959441
27	0.3825426801
28	0.3817526344
29	0.3810287326
30	0.3803535288
31	0.379140323
32	0.3780940481
33	0.3773247872
34	0.3767015528
35	0.3763417535
36	0.3756026666
37	0.3751764599
38	0.3745574597
39	0.3738069312
40	0.3730520242
41	0.3723503729
42	0.37195643
43	0.3712270559
44	0.3706873092
45	0.3703999946
46	0.3698054983
47	0.3693995833
48	0.3690845838
49	0.3685597447
50	0.3682205996
51	0.3678406735
52	0.3676058605
53	0.3673121888
54	0.3670058879
55	0.3660211553
56	0.3655136849
57	0.3648078828
58	0.364172948
59	0.3635682768
60	0.3632606035
61	0.3628870954
62	0.3626493995
63	0.3623151571
64	0.3619420649
65	0.3614240754
66	0.3610585707
67	0.3606630208
68	0.360505591
69	0.3601021228
70	0.3598007268
71	0.3594893073
72	0.359209147
73	0.3590263826
74	0.3587892717
75	0.3585737201
76	0.3581690877
77	0.3578434234
78	0.3574771946
79	0.3571842435
80	0.356332565
81	0.3561666271
82	0.3558996244
83	0.3555170938
84	0.3553963166
85	0.3551568101
86	0.3549288992
87	0.3545602499
88	0.3543643536
89	0.3541278656
90	0.3538848561
91	0.3535383922
92	0.3534097676
93	0.3532030574
94	0.3531407304
95	0.353009676
96	0.3527606787
97	0.3526313117
98	0.3522757704
99	0.3520477933
