iter	Passed	Remaining
0	161	16009
1	265	13005
2	349	11285
3	483	11602
4	552	10497
5	614	9626
6	676	8988
7	738	8487
8	793	8025
9	852	7669
10	902	7306
11	959	7038
12	1014	6791
13	1072	6588
14	1132	6419
15	1316	6910
16	1438	7021
17	1505	6860
18	1565	6675
19	1618	6475
20	1677	6310
21	1729	6131
22	1788	5988
23	1841	5832
24	1909	5727
25	1971	5610
26	2029	5485
27	2090	5374
28	2147	5257
29	2203	5140
30	2256	5023
31	2312	4913
32	2369	4811
33	2428	4713
34	2501	4646
35	2564	4559
36	2618	4459
37	2674	4362
38	2728	4268
39	2787	4181
40	2844	4092
41	2897	4001
42	2953	3914
43	3010	3832
44	3073	3756
45	3133	3678
46	3194	3602
47	3247	3518
48	3302	3437
49	3356	3356
50	3413	3279
51	3462	3196
52	3518	3120
53	3573	3044
54	3635	2974
55	3699	2906
56	3752	2830
57	3811	2760
58	3865	2685
59	3920	2613
60	3972	2539
61	4027	2468
62	4082	2397
63	4138	2328
64	4202	2262
65	4276	2202
66	4357	2146
67	4439	2089
68	4520	2030
69	4606	1974
70	4714	1925
71	4787	1861
72	4843	1791
73	4897	1720
74	4971	1657
75	5031	1588
76	5088	1519
77	5143	1450
78	5195	1381
79	5284	1321
80	5393	1265
81	5486	1204
82	5590	1145
83	5690	1083
84	5756	1015
85	5814	946
86	5870	877
87	5923	807
88	5983	739
89	6035	670
90	6089	602
91	6146	534
92	6208	467
93	6265	399
94	6342	333
95	6405	266
96	6464	199
97	6539	133
98	6614	66
99	6691	0
